partidos
""
""
""
""
""
""
""
""
""
""
""
"14:00
 Finalizado
Getafe
0 - 0
Cádiz
939"
"16:15
 47'
Real Valladolid
1 - 0
Elche
293"
"18:30
 en 1 h
Celta
18:30
Osasuna
94"
"21:00
 en 3 h
Barcelona
21:00
Almería
547"
"16:00
 62'
Nottingham Forest
1 - 1
Brentford
94"
"16:00
 62'
Leeds United
1 - 3
AFC Bournemouth
217"
"16:00
 62'
Wolves
2 - 2
Brighton Hove Alb.
180"
"16:00
 62'
Man. City
1 - 1
Fulham
634"
"18:30
 en 1 h
Everton
18:30
Leicester
23"
"15:00
 Finalizado
Salernitana
2 - 2
Cremonese
239"
"15:00
 Finalizado
Empoli
1 - 0
Sassuolo
353"
"18:00
 en 42 min
Atalanta
18:00
Napoli
70"
"20:45
 en 3 h
Milan
20:45
Spezia
42"
"16:15
 47'
Burgos
0 - 0
Tenerife
365"
"18:30
 en 1 h
Huesca
18:30
Villarreal B
13"
"18:30
 en 1 h
FC Andorra
18:30
Racing
88"
"21:00
 en 3 h
Leganés
21:00
Ponferradina
26"
"15:30
 Finalizado
Hoffenheim
1 - 3
RB Leipzig
166"
"15:30
 Finalizado
B. Dortmund
3 - 0
VfL Bochum
224"
"15:30
 Finalizado
FC Augsburg
1 - 2
Eintracht
212"
"15:30
 Finalizado
Mainz 05
0 - 3
Wolfsburg
354"
"15:30
 Finalizado
Hertha BSC
2 - 3
Bayern München
405"
"18:30
 en 1 h
Werder Bremen
18:30
Schalke 04
25"
"17:00
 17'
Ajaccio
0 - 1
Strasbourg
16"
"21:00
 en 3 h
Angers SCO
21:00
Lens
16"
"17:00
 17'
Algeciras
0 - 1
RC Deportivo
110"
"19:00
 en 1 h
Linares Deportivo
19:00
RB Linense
62"
"21:00
 en 3 h
CD Badajoz
21:00
Celta B
43"
"17:00
 17'
UD Logroñés
0 - 0
CD Calahorra
20"
"19:00
 en 1 h
Bilbao Ath.
19:00
Gimnàstic
41"
"19:00
 en 1 h
Sabadell
19:00
R. Sociedad B
28"
"20:30
 en 3 h
Fluminense
20:30
São Paulo
12"
"20:30
 en 3 h
Santos FC
20:30
Avaí
7"
"23:00
 en 5 h
Goiás EC
23:00
EC Juventude
4"
"23:00
 en 5 h
RB Bragantino
23:00
América Mineiro
5"
"16:30
 Des
Vitesse
0 - 0
Sparta Rotterdam
16"
"18:45
 en 1 h
Fortuna Sittard
18:45
Emmen
10"
"21:00
 en 3 h
Excelsior
21:00
Heerenveen
5"
"16:30
 Des
Vizela
0 - 1
Arouca
6"
"19:00
 en 1 h
Porto
19:00
Paços Ferreira
4"
"21:30
 en 4 h
Sporting CP
21:30
Vitória
6"
"21:00
 en 3 h
Los Angeles FC
21:00
Philadelphia Union
20"
"22:30
 en 5 h
Águilas Doradas
22:30
América de Cali
50"
"16:30
 Des
Univ de Chile
2 - 1
Cobresal
13"
"16:30
 Des
O'Higgins
1 - 0
Everton Viña
5"
"16:30
 Des
Palestino
2 - 0
Huachipato
4"
"13:30
 Finalizado
Sheffield United
5 - 2
Burnley
69"
"16:00
 62'
Queens Park Range.
0 - 0
West Bromwich Alb.
12"
